Writer,Name,Birth Place,Birth Date,Notable Works
http://dbpedia.org/resource/Cahit_Zarifoğlu,Cahit Zarifoğlu,http://dbpedia.org/resource/Ankara,1940-07-01,http://dbpedia.org/resource/Yaşamak
http://dbpedia.org/resource/Caitlin_Rother,Caitlin Rother,http://dbpedia.org/resource/Quebec,1962-12-06,http://dbpedia.org/resource/Lost_Girls_(book)
http://dbpedia.org/resource/Caitlin_Rother,Caitlin Rother,http://dbpedia.org/resource/Montreal,1962-12-06,http://dbpedia.org/resource/Lost_Girls_(book)
http://dbpedia.org/resource/Caitlín_R._Kiernan,Caitlín R. Kiernan,"http://dbpedia.org/resource/Skerries,_Dublin",1964-05-26,http://dbpedia.org/resource/The_Drowning_Girl
http://dbpedia.org/resource/Caleb_Carr,Caleb Carr,http://dbpedia.org/resource/Manhattan,1955-08-02,http://dbpedia.org/resource/The_Italian_Secretary
http://dbpedia.org/resource/Caleb_Carr,Caleb Carr,http://dbpedia.org/resource/Manhattan,1955-08-02,http://dbpedia.org/resource/The_Alienist
http://dbpedia.org/resource/Caleb_Carr,Caleb Carr,http://dbpedia.org/resource/Manhattan,1955-08-02,http://dbpedia.org/resource/The_Angel_of_Darkness
http://dbpedia.org/resource/Caleb_Carr,Caleb Carr,http://dbpedia.org/resource/Manhattan,1955-08-02,http://dbpedia.org/resource/Casing_the_Promised_Land
http://dbpedia.org/resource/Caleb_Carr,Caleb Carr,http://dbpedia.org/resource/Manhattan,1955-08-02,http://dbpedia.org/resource/Killing_Time_(Caleb_Carr_novel)
http://dbpedia.org/resource/Camilo_José_Cela,Camilo José Cela,http://dbpedia.org/resource/Galicia_(Spain),1916-05-11,http://dbpedia.org/resource/The_Hive_(Cela_novel)
http://dbpedia.org/resource/Camilo_José_Cela,Camilo José Cela,http://dbpedia.org/resource/Iria_Flavia,1916-05-11,http://dbpedia.org/resource/The_Hive_(Cela_novel)
http://dbpedia.org/resource/Camilo_José_Cela,Camilo José Cela,http://dbpedia.org/resource/Galicia_(Spain),1916-05-11,http://dbpedia.org/resource/La_familia_de_Pascual_Duarte
http://dbpedia.org/resource/Camilo_José_Cela,Camilo José Cela,http://dbpedia.org/resource/Iria_Flavia,1916-05-11,http://dbpedia.org/resource/La_familia_de_Pascual_Duarte
http://dbpedia.org/resource/Camilo_Pessanha,Camilo Pessanha,http://dbpedia.org/resource/Coimbra,1867-09-07,http://dbpedia.org/resource/Clepsidra
http://dbpedia.org/resource/Camilo_Pessanha,Camilo Pessanha,http://dbpedia.org/resource/Portugal,1867-09-07,http://dbpedia.org/resource/Clepsidra
http://dbpedia.org/resource/Cao_Yu,Cao Yu,"http://dbpedia.org/resource/Qianjiang,_Hubei",1910-09-24,http://dbpedia.org/resource/Thunderstorm_(play)
http://dbpedia.org/resource/Cao_Yu,Cao Yu,http://dbpedia.org/resource/Qing_dynasty,1910-09-24,http://dbpedia.org/resource/Thunderstorm_(play)
http://dbpedia.org/resource/Carl-Johan_Vallgren,Carl-Johan Vallgren,http://dbpedia.org/resource/Linköping,1964-07-26,http://dbpedia.org/resource/The_Horrific_Sufferings_of_the_Mind-Reading_Monster_Hercules_Barefoot
http://dbpedia.org/resource/Carl_Bloch,Carl Bloch,http://dbpedia.org/resource/Denmark,1834-05-23,http://dbpedia.org/resource/In_a_Roman_Osteria
http://dbpedia.org/resource/Carl_Bloch,Carl Bloch,http://dbpedia.org/resource/Copenhagen,1834-05-23,http://dbpedia.org/resource/In_a_Roman_Osteria
http://dbpedia.org/resource/Carl_Gottlieb,Carl Gottlieb,http://dbpedia.org/resource/New_York_City,1938-03-18,http://dbpedia.org/resource/Jaws_(film)
http://dbpedia.org/resource/Carl_Muller,Carl Muller,http://dbpedia.org/resource/Kandy,1935-10-22,http://dbpedia.org/resource/Children_of_the_Lion
http://dbpedia.org/resource/Carl_Muller,Carl Muller,http://dbpedia.org/resource/Kandy,1935-10-22,http://dbpedia.org/resource/The_Jam_Fruit_Tree
http://dbpedia.org/resource/Carl_Tighe,Carl Tighe,"http://dbpedia.org/resource/Handsworth,_Birmingham",1950-04-26,http://dbpedia.org/resource/2001_Whitbread_Awards
http://dbpedia.org/resource/Carla_Lane,Carla Lane,http://dbpedia.org/resource/Liverpool,1928-08-05,http://dbpedia.org/resource/Bless_This_House_(British_TV_series)
http://dbpedia.org/resource/Carla_Lane,Carla Lane,http://dbpedia.org/resource/West_Derby,1928-08-05,http://dbpedia.org/resource/Bless_This_House_(British_TV_series)
http://dbpedia.org/resource/Carla_Lane,Carla Lane,http://dbpedia.org/resource/Liverpool,1928-08-05,http://dbpedia.org/resource/Bread_(TV_series)
http://dbpedia.org/resource/Carla_Lane,Carla Lane,http://dbpedia.org/resource/West_Derby,1928-08-05,http://dbpedia.org/resource/Bread_(TV_series)
http://dbpedia.org/resource/Carla_Lane,Carla Lane,http://dbpedia.org/resource/Liverpool,1928-08-05,http://dbpedia.org/resource/The_Liver_Birds
http://dbpedia.org/resource/Carla_Lane,Carla Lane,http://dbpedia.org/resource/West_Derby,1928-08-05,http://dbpedia.org/resource/The_Liver_Birds
http://dbpedia.org/resource/Carla_Lane,Carla Lane,http://dbpedia.org/resource/Liverpool,1928-08-05,http://dbpedia.org/resource/The_Mistress_(TV_series)
http://dbpedia.org/resource/Carla_Lane,Carla Lane,http://dbpedia.org/resource/West_Derby,1928-08-05,http://dbpedia.org/resource/The_Mistress_(TV_series)
http://dbpedia.org/resource/Carla_Lane,Carla Lane,http://dbpedia.org/resource/Liverpool,1928-08-05,http://dbpedia.org/resource/Luv_(TV_series)
http://dbpedia.org/resource/Carla_Lane,Carla Lane,http://dbpedia.org/resource/West_Derby,1928-08-05,http://dbpedia.org/resource/Luv_(TV_series)
http://dbpedia.org/resource/Carla_Lane,Carla Lane,http://dbpedia.org/resource/Liverpool,1928-08-05,http://dbpedia.org/resource/Butterflies_(TV_series)
http://dbpedia.org/resource/Carla_Lane,Carla Lane,http://dbpedia.org/resource/West_Derby,1928-08-05,http://dbpedia.org/resource/Butterflies_(TV_series)
http://dbpedia.org/resource/Carla_Lane,Carla Lane,http://dbpedia.org/resource/Liverpool,1928-08-05,http://dbpedia.org/resource/Solo_(TV_series)
http://dbpedia.org/resource/Carla_Lane,Carla Lane,http://dbpedia.org/resource/West_Derby,1928-08-05,http://dbpedia.org/resource/Solo_(TV_series)
http://dbpedia.org/resource/Carlo_Goldoni,Carlo Goldoni,http://dbpedia.org/resource/Republic_of_Venice,1707-02-25,http://dbpedia.org/resource/Servant_of_Two_Masters
http://dbpedia.org/resource/Carlo_Goldoni,Carlo Goldoni,http://dbpedia.org/resource/Venice,1707-02-25,http://dbpedia.org/resource/Servant_of_Two_Masters
http://dbpedia.org/resource/Carlo_Goldoni,Carlo Goldoni,http://dbpedia.org/resource/Republic_of_Venice,1707-02-25,http://dbpedia.org/resource/The_Mistress_of_the_Inn
http://dbpedia.org/resource/Carlo_Goldoni,Carlo Goldoni,http://dbpedia.org/resource/Venice,1707-02-25,http://dbpedia.org/resource/The_Mistress_of_the_Inn
http://dbpedia.org/resource/Carlos_Ruiz-Tagle,Carlos Ruiz-Tagle,http://dbpedia.org/resource/Santiago_de_Chile,1932-02-12,http://dbpedia.org/resource/La_edad_del_pavo
http://dbpedia.org/resource/Carlos_Ruiz-Tagle,Carlos Ruiz-Tagle,http://dbpedia.org/resource/Chile,1932-02-12,http://dbpedia.org/resource/La_edad_del_pavo
http://dbpedia.org/resource/Carmen_Maria_Machado,Carmen Maria Machado,http://dbpedia.org/resource/Pennsylvania,1986-07-03,http://dbpedia.org/resource/Her_Body_and_Other_Parties
http://dbpedia.org/resource/Carmen_Maria_Machado,Carmen Maria Machado,"http://dbpedia.org/resource/Allentown,_Pennsylvania",1986-07-03,http://dbpedia.org/resource/Her_Body_and_Other_Parties
http://dbpedia.org/resource/Carmen_Maria_Machado,Carmen Maria Machado,http://dbpedia.org/resource/Pennsylvania,1986-07-03,http://dbpedia.org/resource/In_the_Dream_House
http://dbpedia.org/resource/Carmen_Maria_Machado,Carmen Maria Machado,"http://dbpedia.org/resource/Allentown,_Pennsylvania",1986-07-03,http://dbpedia.org/resource/In_the_Dream_House
"http://dbpedia.org/resource/Carmen_de_Icaza,_8th_Baroness_of_Claret",The Baroness of Claret,http://dbpedia.org/resource/Madrid,1899-05-17,http://dbpedia.org/resource/Cristina_Guzmán_(novel)
"http://dbpedia.org/resource/Carmen_de_Icaza,_8th_Baroness_of_Claret",The Baroness of Claret,http://dbpedia.org/resource/Kingdom_of_Spain,1899-05-17,http://dbpedia.org/resource/Cristina_Guzmán_(novel)
http://dbpedia.org/resource/Carol_Plum-Ucci,Carol Plum-Ucci,http://dbpedia.org/resource/Atlantic_City,1957-08-16,http://dbpedia.org/resource/The_Body_of_Christopher_Creed
http://dbpedia.org/resource/Carol_Plum-Ucci,Carol Plum-Ucci,http://dbpedia.org/resource/New_Jersey,1957-08-16,http://dbpedia.org/resource/The_Body_of_Christopher_Creed
http://dbpedia.org/resource/Carol_Ryrie_Brink,Carol Ryrie Brink,"http://dbpedia.org/resource/Moscow,_Idaho",1895-12-28,http://dbpedia.org/resource/Caddie_Woodlawn
http://dbpedia.org/resource/Caroline_Atherton_Mason,Caroline Atherton Mason,"http://dbpedia.org/resource/Marblehead,_Massachusetts",1823-07-27,http://dbpedia.org/resource/Do_They_Miss_Me_At_Home%3F
http://dbpedia.org/resource/Caroline_Leakey,Caroline Leakey,http://dbpedia.org/resource/Devon,1827-03-08,http://dbpedia.org/resource/The_Broad_Arrow
http://dbpedia.org/resource/Caroline_Leakey,Caroline Leakey,http://dbpedia.org/resource/Exeter,1827-03-08,http://dbpedia.org/resource/The_Broad_Arrow
http://dbpedia.org/resource/Caroline_Pafford_Miller,Caroline Pafford Miller,"http://dbpedia.org/resource/Waycross,_Georgia",1903-08-26,http://dbpedia.org/resource/Lamb_in_His_Bosom
http://dbpedia.org/resource/Carson_McCullers,Carson McCullers,"http://dbpedia.org/resource/Columbus,_Georgia",1917-02-19,http://dbpedia.org/resource/The_Member_of_the_Wedding
http://dbpedia.org/resource/Carson_McCullers,Carson McCullers,http://dbpedia.org/resource/Georgia_(U.S._state),1917-02-19,http://dbpedia.org/resource/The_Member_of_the_Wedding
http://dbpedia.org/resource/Carson_McCullers,Carson McCullers,"http://dbpedia.org/resource/Columbus,_Georgia",1917-02-19,http://dbpedia.org/resource/The_Heart_Is_a_Lonely_Hunter
http://dbpedia.org/resource/Carson_McCullers,Carson McCullers,http://dbpedia.org/resource/Georgia_(U.S._state),1917-02-19,http://dbpedia.org/resource/The_Heart_Is_a_Lonely_Hunter
http://dbpedia.org/resource/Carson_McCullers,Carson McCullers,"http://dbpedia.org/resource/Columbus,_Georgia",1917-02-19,http://dbpedia.org/resource/The_Ballad_of_the_Sad_Café
http://dbpedia.org/resource/Carson_McCullers,Carson McCullers,http://dbpedia.org/resource/Georgia_(U.S._state),1917-02-19,http://dbpedia.org/resource/The_Ballad_of_the_Sad_Café
http://dbpedia.org/resource/Caryl_Phillips,Caryl Phillips,http://dbpedia.org/resource/Saint_Kitts,1958-03-13,http://dbpedia.org/resource/The_Final_Passage
http://dbpedia.org/resource/Caryl_Phillips,Caryl Phillips,http://dbpedia.org/resource/Saint_Kitts,1958-03-13,http://dbpedia.org/resource/Crossing_the_River
http://dbpedia.org/resource/Caryl_Phillips,Caryl Phillips,http://dbpedia.org/resource/Saint_Kitts,1958-03-13,http://dbpedia.org/resource/Dancing_in_the_Dark_(novel)
http://dbpedia.org/resource/Cassandra_Clare,Cassandra Clare,http://dbpedia.org/resource/Tehran,1973-07-27,http://dbpedia.org/resource/The_Mortal_Instruments_(series)
http://dbpedia.org/resource/Castro_Alves,Castro Alves,"http://dbpedia.org/resource/Castro_Alves,_Bahia",1847-03-14,http://dbpedia.org/resource/Espumas_Flutuantes
http://dbpedia.org/resource/Castro_Alves,Castro Alves,http://dbpedia.org/resource/Empire_of_Brazil,1847-03-14,http://dbpedia.org/resource/Espumas_Flutuantes
http://dbpedia.org/resource/Castro_Alves,Castro Alves,http://dbpedia.org/resource/Bahia,1847-03-14,http://dbpedia.org/resource/Espumas_Flutuantes
http://dbpedia.org/resource/Castro_Alves,Castro Alves,"http://dbpedia.org/resource/Castro_Alves,_Bahia",1847-03-14,http://dbpedia.org/resource/O_Navio_Negreiro
http://dbpedia.org/resource/Castro_Alves,Castro Alves,http://dbpedia.org/resource/Empire_of_Brazil,1847-03-14,http://dbpedia.org/resource/O_Navio_Negreiro
http://dbpedia.org/resource/Castro_Alves,Castro Alves,http://dbpedia.org/resource/Bahia,1847-03-14,http://dbpedia.org/resource/O_Navio_Negreiro
http://dbpedia.org/resource/Castro_Alves,Castro Alves,"http://dbpedia.org/resource/Castro_Alves,_Bahia",1847-03-14,http://dbpedia.org/resource/Vozes_d'África
http://dbpedia.org/resource/Castro_Alves,Castro Alves,http://dbpedia.org/resource/Empire_of_Brazil,1847-03-14,http://dbpedia.org/resource/Vozes_d'África
http://dbpedia.org/resource/Castro_Alves,Castro Alves,http://dbpedia.org/resource/Bahia,1847-03-14,http://dbpedia.org/resource/Vozes_d'África
http://dbpedia.org/resource/Cate_Tiernan,Cate Tiernan,"http://dbpedia.org/resource/New_Orleans,_Louisiana",1961-07-24,http://dbpedia.org/resource/Sweep_(book_series)
http://dbpedia.org/resource/Poul_Anderson,Poul Anderson,"http://dbpedia.org/resource/Bristol,_Pennsylvania",1926-11-25,http://dbpedia.org/resource/Tau_Zero
http://dbpedia.org/resource/Poul_Anderson,Poul Anderson,"http://dbpedia.org/resource/Bristol,_Pennsylvania",1926-11-25,http://dbpedia.org/resource/Three_Hearts_and_Three_Lions
http://dbpedia.org/resource/Poul_Anderson,Poul Anderson,"http://dbpedia.org/resource/Bristol,_Pennsylvania",1926-11-25,http://dbpedia.org/resource/The_Broken_Sword
http://dbpedia.org/resource/Pramoedya_Ananta_Toer,Pramoedya Ananta Toer,http://dbpedia.org/resource/Dutch_East_Indies,1925-02-06,http://dbpedia.org/resource/Buru_Quartet
http://dbpedia.org/resource/Pramoedya_Ananta_Toer,Pramoedya Ananta Toer,http://dbpedia.org/resource/Blora,1925-02-06,http://dbpedia.org/resource/Buru_Quartet
http://dbpedia.org/resource/Pravin_Pandya,Pravin Pandya,http://dbpedia.org/resource/Gujarat,1957-02-16,http://dbpedia.org/resource/Ajavasnan_Matsya
http://dbpedia.org/resource/Pravin_Pandya,Pravin Pandya,http://dbpedia.org/resource/Dhrangadhra,1957-02-16,http://dbpedia.org/resource/Ajavasnan_Matsya
http://dbpedia.org/resource/Pravin_Pandya,Pravin Pandya,http://dbpedia.org/resource/Surendranagar,1957-02-16,http://dbpedia.org/resource/Ajavasnan_Matsya
http://dbpedia.org/resource/Pravin_Pandya,Pravin Pandya,http://dbpedia.org/resource/Gujarat,1957-02-16,http://dbpedia.org/resource/Barda_Na_Dungar
http://dbpedia.org/resource/Pravin_Pandya,Pravin Pandya,http://dbpedia.org/resource/Dhrangadhra,1957-02-16,http://dbpedia.org/resource/Barda_Na_Dungar
http://dbpedia.org/resource/Pravin_Pandya,Pravin Pandya,http://dbpedia.org/resource/Surendranagar,1957-02-16,http://dbpedia.org/resource/Barda_Na_Dungar
http://dbpedia.org/resource/Preeti_Singh,Preeti Singh,http://dbpedia.org/resource/Ambala,1971-10-26,http://dbpedia.org/resource/Flirting_with_Fate_(novel)
http://dbpedia.org/resource/Preeti_Singh,Preeti Singh,http://dbpedia.org/resource/Haryana,1971-10-26,http://dbpedia.org/resource/Flirting_with_Fate_(novel)
http://dbpedia.org/resource/Preeti_Singh,Preeti Singh,http://dbpedia.org/resource/India,1971-10-26,http://dbpedia.org/resource/Flirting_with_Fate_(novel)
http://dbpedia.org/resource/Premchand,Premchand,http://dbpedia.org/resource/Benares_State,1880-07-31,http://dbpedia.org/resource/Bazaar-e-Husn
http://dbpedia.org/resource/Premchand,Premchand,http://dbpedia.org/resource/British_Raj,1880-07-31,http://dbpedia.org/resource/Bazaar-e-Husn
http://dbpedia.org/resource/Premchand,Premchand,http://dbpedia.org/resource/Lamhi,1880-07-31,http://dbpedia.org/resource/Bazaar-e-Husn
http://dbpedia.org/resource/Premchand,Premchand,http://dbpedia.org/resource/Benares_State,1880-07-31,http://dbpedia.org/resource/Idgah_(short_story)
http://dbpedia.org/resource/Premchand,Premchand,http://dbpedia.org/resource/British_Raj,1880-07-31,http://dbpedia.org/resource/Idgah_(short_story)
http://dbpedia.org/resource/Premchand,Premchand,http://dbpedia.org/resource/Lamhi,1880-07-31,http://dbpedia.org/resource/Idgah_(short_story)
http://dbpedia.org/resource/Premchand,Premchand,http://dbpedia.org/resource/Benares_State,1880-07-31,http://dbpedia.org/resource/Gaban_(novel)
http://dbpedia.org/resource/Premchand,Premchand,http://dbpedia.org/resource/British_Raj,1880-07-31,http://dbpedia.org/resource/Gaban_(novel)
http://dbpedia.org/resource/Premchand,Premchand,http://dbpedia.org/resource/Lamhi,1880-07-31,http://dbpedia.org/resource/Gaban_(novel)
